Date,Price,CVol,Return,Open,High,Low,Spread,Diff,5ma,10ma,5std
10/16/19,234.37,19286690,-0.40,233.37,235.24,233.20,0.008704186,-0.008286588,0.645367058,0.690203884,1.327306184
10/15/19,235.32,23040480,-0.23,236.39,237.65,234.88,0.011771205,0.002204604,0.960514073,0.479896856,1.196575357
10/14/19,235.87,24413480,-0.14,234.90,238.13,234.67,0.01468648,-0.005545913,0.772848801,0.530895192,1.472384385
10/11/19,236.21,41990207,2.66,232.95,237.64,232.31,0.022575251,0.012429919,0.806042768,0.780643843,1.448221082
10/10/19,230.09,28962980,1.35,227.93,230.44,227.30,0.013646834,0.003964234,0.834712991,0.466000302,1.494766148
10/09/19,227.03,19029420,1.17,227.03,227.79,225.64,0.009470114,0.011720143,0.735040709,0.279640034,1.468379551
10/08/19,224.40,29282700,-1.17,225.82,228.06,224.33,0.016622103,-0.005461112,-0.000720362,0.316333778,2.014715461
10/07/19,227.06,30889270,0.02,226.27,229.93,225.84,0.01801286,-0.003259768,0.288941583,0.385933383,1.905459668
10/04/19,227.01,34755550,2.80,225.64,227.49,223.89,0.015858332,0.021827733,0.755244917,0.429200534,2.099238317
10/03/19,220.82,30352690,0.85,218.43,220.96,215.13,0.026392537,-0.002420533,0.097287613,0.002701332,1.789607508
10/02/19,218.96,35767260,-2.51,223.06,223.58,217.93,0.0258038,-0.006812414,-0.17576064,-0.163495364,1.749861132
10/01/19,224.59,36187160,0.28,225.07,228.22,224.20,0.017899283,0.004911372,0.633387918,0.180975413,1.272893876
09/30/19,223.97,26318580,2.35,220.90,224.58,220.79,0.016921909,0.00950553,0.482925183,0.189674763,1.366594816
09/27/19,218.82,25361290,-0.49,220.54,220.96,217.28,0.016811078,0.002956023,0.103156152,0.006892412,0.901501866
09/26/19,219.89,19088310,-0.52,220.00,220.94,218.83,0.009595707,-0.004660001,-0.091884949,-0.138768828,1.135991826
09/25/19,221.03,22481010,1.54,218.55,221.50,217.14,0.019724924,0.003996692,-0.151230088,-0.109776565,1.17088645
09/24/19,217.68,31434370,-0.48,221.03,222.49,217.19,0.024347666,0.010561448,-0.271437093,0.054278126,0.96710526
09/23/19,218.72,19419650,0.45,218.95,219.84,217.65,0.010012802,0.00560327,-0.103575658,0.219957965,0.995261098
09/20/19,217.73,57977090,-1.46,221.38,222.56,217.47,0.023363799,0.001900797,-0.089371327,0.217160184,1.005672862
09/19/19,220.96,22187880,-0.81,222.01,223.76,220.37,0.015342143,-0.00341159,-0.185652708,0.362403,1.178167238
09/18/19,222.77,25643090,0.94,221.06,222.85,219.44,0.015307268,0.001631174,-0.068323041,0.639168431,1.128291555
09/17/19,220.70,18386470,0.36,219.96,220.82,219.12,0.007702764,0.000272851,0.379993345,0.715040771,1.845473157
09/16/19,219.90,21158140,0.53,217.73,220.13,217.56,0.011687131,-0.004662857,0.543491588,0.533023834,1.879578145
09/13/19,218.75,39763300,-1.94,220.00,220.79,217.02,0.017234286,-0.01382881,0.523691694,0.467534918,1.88033357
09/12/19,223.09,32226670,-0.23,224.80,226.42,222.86,0.015958043,0.005411691,0.910458709,0.831174144,1.377789984
09/11/19,223.59,44289650,3.18,218.07,223.71,217.73,0.026745382,0.006322104,1.346659903,0.920862735,1.269062733
09/10/19,216.70,31777930,1.18,213.86,216.78,211.71,0.023396401,-0.001447448,1.050088198,0.490074229,0.831486134
09/09/19,214.17,27309400,0.43,214.84,216.44,211.07,0.02507354,0.007408797,0.52255608,0.561936626,1.381945854
09/06/19,213.26,19362290,-0.01,214.05,214.42,212.51,0.008956204,0.003610278,0.411378142,0.057060618,1.413582901
09/05/19,213.28,23946880,1.96,212.00,213.97,211.51,0.011534134,0.013432764,0.751889579,0.04953304,1.489891536
09/04/19,209.19,19216820,1.70,208.39,209.48,207.32,0.010325541,0.013077297,0.495065567,-0.03759737,1.333040545
09/03/19,205.70,20059570,-1.46,206.43,206.98,204.22,0.013417598,-0.011066398,-0.06993974,-0.206786615,1.294566823
08/30/19,208.74,21162560,-0.13,210.16,210.45,207.20,0.015569608,0.005502129,0.601317172,0.125290405,1.265788406
08/29/19,209.01,21007650,1.69,208.50,209.32,206.66,0.012750586,0.014450445,-0.297256907,0.374155096,2.698223201
08/28/19,205.53,15957630,0.67,204.10,205.72,203.32,0.011677127,-0.000293887,-0.652823498,0.155022352,2.478550847
08/27/19,204.16,25897340,-1.13,207.86,208.55,203.53,0.024588558,0.006634704,-0.570260307,-0.209731972,2.539794068
08/26/19,206.49,26066130,1.90,205.86,207.19,205.06,0.010328345,0.015890249,-0.343633491,0.326590056,2.528070442
08/23/19,202.64,46882840,-4.62,209.43,212.05,201.00,0.054535136,-0.014261508,-0.350736362,0.111222808,2.520228794
08/22/19,212.46,22267820,-0.08,213.19,214.44,210.75,0.017344441,0.002586531,1.045567099,0.491336174,1.090755992
08/21/19,212.64,21564750,1.08,212.99,213.65,211.60,0.009625658,0.012502377,0.962868202,0.720360034,1.207316884
08/20/19,210.36,26919530,0.00,210.88,213.35,210.32,0.014403879,0.00251961,0.150796362,0.715527556,2.123508513
08/19/19,210.35,24431920,1.86,210.62,212.73,210.03,0.012862848,0.019951574,0.996813603,0.904355365,2.789108852
08/16/19,206.50,28813620,2.36,204.28,207.16,203.84,0.016077482,0.012590463,0.573181978,0.19443668,2.785245887
08/15/19,201.74,27883360,-0.50,203.46,205.14,199.67,0.027114107,0.00350185,-0.062894752,-0.253091747,2.634392655
08/14/19,202.75,36547440,-2.98,203.16,206.44,202.59,0.019004192,-0.027803034,0.477851867,-0.419668119,2.795291684
08/13/19,208.97,47539793,4.23,201.02,212.14,200.83,0.054122601,0.002693536,1.28025875,0.082024243,2.025696414
08/12/19,200.48,22481890,-0.25,199.62,202.05,199.15,0.014473264,-0.00681626,0.811897128,-0.384381954,1.319366402
08/09/19,200.99,24619750,-0.82,201.30,202.76,199.29,0.017264541,-0.010470432,-0.184308618,-0.265621836,3.05889915
08/08/19,203.43,27009520,2.21,200.20,203.53,199.39,0.020350981,0.005827974,-0.443288743,-0.148750763,3.178740114
08/07/19,199.04,33364400,1.04,195.41,199.56,193.82,0.028838424,-0.008071066,-1.317188105,-0.448381503,2.852326267
08/06/19,197.00,35824793,1.89,196.31,198.07,194.04,0.020441624,0.015361539,-1.116210264,-0.560074959,3.085423347
08/05/19,193.34,52392970,-5.23,197.99,198.65,192.58,0.031390297,-0.029555926,-1.580661037,-0.671200449,2.665388826
08/02/19,204.02,40862120,-2.12,205.53,206.43,201.63,0.023527105,-0.013913544,-0.346935054,0.080817842,1.855869063
08/01/19,208.43,54017920,-2.16,213.90,218.03,206.74,0.054150074,0.004036801,0.145787217,0.14312368,1.574550314
07/31/19,213.04,69281360,2.04,216.42,221.37,211.30,0.047268119,0.036593543,0.420425098,0.473111807,1.127169834
07/30/19,208.78,33935720,-0.43,208.76,210.16,207.31,0.013650733,-0.004387638,-0.003939653,0.212835351,0.672507015
07/29/19,209.68,21673390,0.93,208.46,210.64,208.44,0.010492179,0.003465871,0.238260138,0.221158261,0.698613788
07/26/19,207.74,17618870,0.35,207.48,209.73,207.14,0.012467507,0.002222008,0.508570737,0.221722938,1.150419539
07/25/19,207.02,13909560,-0.79,208.89,209.24,206.73,0.012124432,0.001054296,0.140460143,0.263771728,1.465929697
07/24/19,208.67,14991570,-0.08,207.67,209.15,207.17,0.009488666,-0.005602375,0.525798516,0.270020083,1.412206737
07/23/19,208.84,18355210,0.78,208.46,208.91,207.29,0.007757135,0.005983978,0.429610354,0.377046794,1.478716508
07/22/19,207.22,22277930,2.29,203.65,207.23,203.61,0.017469356,0.005232242,0.204056384,0.359863226,1.497462508
07/19/19,202.59,20929310,-1.49,205.79,206.50,202.36,0.020435362,0.000632111,-0.06512486,-0.074817131,1.097285967
07/18/19,205.66,18582160,1.14,204.00,205.88,203.70,0.010600019,0.003196459,0.387083313,0.065652606,0.782642808
07/17/19,203.35,14107450,-0.56,204.05,205.09,203.27,0.008957463,-0.002200489,0.014241651,0.034924862,0.780732872
07/16/19,204.50,16866820,-0.35,204.59,206.11,203.50,0.012762836,-0.003021295,0.324483234,0.149704623,0.802241599
07/15/19,205.21,16947420,0.94,204.09,205.87,204.00,0.009112616,0.003885883,0.515670069,0.367712042,0.711258149
07/12/19,203.30,17595210,0.77,202.45,204.00,202.20,0.00885391,0.003469641,-0.084509403,0.182643263,1.292683862
07/11/19,201.75,20191840,-0.73,203.31,204.39,201.71,0.013283767,0.000393643,-0.2557781,0.102811862,1.205219747
07/10/19,203.23,17897140,0.99,201.85,203.73,201.56,0.010677557,0.003031207,0.055608072,0.391926524,1.252823814
07/09/19,201.24,20578020,0.61,199.20,201.51,198.81,0.013416816,-0.00409959,-0.025073989,0.141464095,1.189063831
07/08/19,200.02,25338630,-2.06,200.81,201.40,198.41,0.014948505,-0.016745826,0.219754016,0.070408518,1.449913941
07/05/19,204.23,17265520,-0.09,203.35,205.08,202.90,0.01067424,-0.005185656,0.449795928,0.242455746,1.02710526
07/03/19,204.41,11362050,0.83,203.28,204.44,202.69,0.008560736,0.002712968,0.461401825,0.33161833,1.019810249
07/02/19,202.73,16935220,0.59,201.41,203.13,201.36,0.008742169,-0.000694617,0.728244975,0.21952269,1.281039371
07/01/19,201.55,27316740,1.83,203.17,204.49,200.65,0.019052344,0.026525869,0.308002179,0.396162047,1.635267132
06/28/19,197.92,31110640,-0.91,198.68,199.50,197.05,0.012353476,-0.005306899,-0.07893698,0.272419343,1.395155403
06/27/19,199.74,20899720,-0.03,200.29,201.57,199.57,0.010013017,0.002452452,0.035115564,0.290913813,1.331990024
06/26/19,199.80,26067510,2.16,197.77,200.99,197.35,0.018218218,0.011249169,0.201834834,0.291857298,1.373324861
06/25/19,195.57,21070330,-1.52,198.43,199.26,195.29,0.020299637,-0.000755363,-0.289199596,0.043740967,0.827169054
06/24/19,198.58,18220420,-0.10,198.54,200.16,198.17,0.01002115,-0.001207365,0.484321915,0.311112311,1.141910732
06/21/19,198.78,47800594,-0.34,198.80,200.85,198.15,0.013582855,-0.003308934,0.623775666,0.448967938,1.094197409
06/20/19,199.46,21513990,0.80,200.37,200.61,198.03,0.012934924,0.012634558,0.546712063,0.749230501,1.188621236
06/19/19,197.87,21124240,-0.29,199.68,199.88,197.31,0.012988326,0.006198035,0.381879763,0.815691393,1.201176273
06/18/19,198.45,26551000,2.35,196.05,200.29,195.21,0.025598388,0.011140337,0.376681529,1.006351518,1.204873618
06/17/19,193.89,14669140,0.60,192.90,194.96,192.17,0.014389602,0.000830134,0.137902708,1.137005947,0.746811369
06/14/19,192.74,18761470,-0.73,191.55,193.59,190.30,0.017050431,-0.013417461,0.274160211,0.976238002,0.898236413
06/13/19,194.15,21674630,-0.02,194.70,196.79,193.60,0.016430595,0.002626294,0.951748938,0.867706913,1.186509335
06/12/19,194.19,18253190,-0.32,193.95,195.97,193.39,0.013311705,-0.004414558,1.249503024,0.921632959,1.061740472
06/11/19,194.81,26932880,1.16,194.86,196.00,193.60,0.012319696,0.011839236,1.636021507,0.905767098,0.599463891
06/10/19,192.58,26220850,1.28,191.81,195.37,191.62,0.019472427,0.00872995,2.136109186,0.748624276,1.006034869
06/07/19,190.15,30684390,2.66,186.51,191.92,185.77,0.032342887,0.006964691,1.678315793,0.582423901,1.744172694
06/06/19,185.22,22526310,1.47,183.08,185.47,182.15,0.017930569,0.002958256,0.783664887,0.145557229,2.201062621
06/05/19,182.54,29773430,1.61,184.28,184.99,181.14,0.021091268,0.025829437,0.593762893,-0.205976833,2.167952049
06/04/19,179.64,30967960,3.66,175.44,179.83,174.52,0.029559118,0.012348529,0.175512689,-0.175700964,2.123097601
06/03/19,173.30,40396070,-1.01,175.60,177.92,170.27,0.044143104,0.00302736,-0.638860634,-0.85423905,0.855951087
05/31/19,175.07,27043580,-1.81,176.23,177.99,174.99,0.017136003,-0.011609647,-0.513467992,-0.809954519,0.833427943
05/30/19,178.30,21218410,0.52,177.95,179.23,176.67,0.014357824,0.00321344,-0.492550429,-0.672796044,0.793037084
05/29/19,177.38,28481170,-0.48,176.42,179.35,176.00,0.018886007,-0.010155417,-1.005716559,-0.604871379,0.805171951
05/28/19,178.23,27948160,-0.41,178.92,180.59,177.91,0.01503675,-0.000279376,-0.526914617,-0.398876283,1.558055892
05/24/19,178.97,23714690,-0.38,180.20,182.14,178.62,0.019668101,0.003005677,-1.069617466,-0.938723331,1.935525528
05/23/19,179.66,36529740,-1.71,179.80,180.54,177.81,0.015195369,-0.016303753,-1.106441047,-1.038321204,1.920918379
05/22/19,182.78,29748560,-2.05,184.66,185.71,182.55,0.017288544,-0.01039657,-0.853041659,-0.975065684,1.905400561
05/21/19,186.60,28364850,1.92,185.22,188.00,184.70,0.017684887,0.011633623,-0.204026199,-0.768378066,1.949139232
05/20/19,183.09,38612290,-3.13,183.52,184.35,180.28,0.022202742,-0.028994709,-0.270837948,-1.229657643,1.862034655
05/17/19,189.00,32879090,-0.57,186.93,190.90,186.76,0.021904762,-0.01657197,-0.807829195,-1.071386546,2.956905593
05/16/19,190.08,33031360,-0.44,189.91,192.47,188.84,0.019091435,-0.005290174,-0.970201361,-0.890255271,2.96274084
05/15/19,190.92,26544720,1.20,186.27,191.75,186.02,0.030012571,-0.012668292,-1.097089709,-0.911335743,2.94790369
05/14/19,188.66,36529680,1.58,186.41,189.70,185.41,0.022739319,0.00371527,-1.332729932,-0.540270863,2.759670517
05/13/19,185.72,57430620,-5.81,187.71,189.48,182.85,0.035698902,-0.048027183,-2.188477338,-0.89113621,2.24486048
05/10/19,197.18,41208710,-1.38,197.42,198.85,192.77,0.03083477,-0.016445795,-1.334943896,-0.294768086,0.974740342
05/09/19,200.72,34908610,-1.07,200.40,201.68,196.66,0.025009964,-0.012321341,-0.81030918,-0.20450378,1.505715261
05/08/19,202.90,26339500,0.02,201.90,205.34,201.75,0.017693445,-0.004732328,-0.725581776,-0.187813687,1.499043113
05/07/19,202.86,38763700,-2.70,205.88,207.42,200.83,0.032497782,-0.01247122,0.252188206,-0.205207257,2.974745575
05/06/19,208.48,32443110,-1.54,204.29,208.84,203.50,0.025613968,-0.035230224,0.406204918,0.208595547,2.798688444
05/03/19,211.75,20892380,1.24,210.89,211.84,210.23,0.007603306,0.008319388,0.745407723,0.395889189,2.598831837
05/02/19,209.15,31996320,-0.65,209.84,212.65,208.13,0.021611284,-0.003230097,0.401301621,0.307512269,2.630170376
05/01/19,210.52,64827330,4.91,209.88,215.31,209.23,0.028880866,0.045896248,0.349954402,0.567320682,2.658200877
04/30/19,200.67,46534920,-1.93,203.06,203.40,199.11,0.021378382,-0.007575387,-0.662602721,0.077468799,0.807941739
04/29/19,204.61,22204720,0.15,204.40,205.97,203.86,0.010312301,0.000489476,0.010986175,0.288132557,0.891347575
04/26/19,204.30,18649100,-0.48,204.90,205.00,202.12,0.014096916,-0.00185113,0.046370655,0.268938071,0.901782539
04/25/19,205.28,18543210,-0.91,206.83,207.76,205.12,0.012860483,-0.001592972,0.213722916,0.233435768,0.856802881
04/24/19,207.16,17540610,-0.15,207.36,208.48,207.05,0.006902877,-0.000578369,0.784686962,0.380326937,0.873870815
04/23/19,207.48,23322990,1.44,204.43,207.75,203.90,0.018556005,-0.000488926,0.81754032,0.3657641,0.831823809
04/22/19,204.53,19439550,0.33,202.83,204.94,202.34,0.012712072,-0.005052487,0.56527894,0.378892706,0.784910875
04/18/19,203.86,24195770,0.36,203.12,204.15,202.52,0.007995683,-4.92296E-05,0.491505486,0.412968761,0.828817465
04/17/19,203.13,28906780,1.95,199.54,203.38,198.61,0.023482499,0.001455458,0.25314862,0.394437097,1.024573359
04/16/19,199.25,25696390,0.01,199.46,201.37,198.56,0.014102886,0.001154445,-0.024033088,0.26825586,0.509826697
04/15/19,199.23,17536650,0.18,198.58,199.85,198.01,0.009235557,-0.001458239,-0.086012119,0.412618713,0.523307292
04/12/19,198.87,27760670,-0.04,199.20,200.14,196.21,0.019761653,0.001256597,0.192506473,0.462429593,0.920678093
04/11/19,198.95,20900810,-0.83,200.85,201.00,198.44,0.012851973,0.001146446,0.334432037,0.531625947,0.930479453
04/10/19,200.62,21695290,0.56,198.68,200.74,198.18,0.012760443,-0.004110276,0.535725574,0.628133153,0.693676976
04/09/19,199.50,35768240,-0.30,200.32,202.85,199.23,0.018145363,0.00109945,0.560544809,0.661934156,0.697037165
04/08/19,200.10,25881700,1.57,196.42,200.23,196.34,0.01944028,-0.002944162,0.911249544,0.588602078,0.588612889
04/05/19,197.00,18526640,0.67,196.45,197.10,195.93,0.005939086,0.003883694,0.732352714,0.310329737,0.458528116
04/04/19,195.69,19114280,0.17,194.79,196.37,193.14,0.016505698,-0.00286665,0.728819858,0.036304186,0.45920178
04/03/19,195.35,23271830,0.69,193.25,196.50,193.15,0.017148707,-0.003968663,0.720540732,0.387202511,0.471902083
04/02/19,194.02,22765730,1.45,191.09,194.46,191.05,0.017575508,-0.000784355,0.763323503,0.406038253,0.477593148
04/01/19,191.24,27861960,0.68,191.64,191.68,188.38,0.017255804,0.008897078,0.265954612,0.181424445,0.77883397
03/29/19,189.95,23563960,0.65,189.83,190.08,188.54,0.008107397,0.00588173,-0.11169324,0.215596363,0.964149639
03/28/19,188.72,20780360,0.13,188.95,189.56,187.53,0.010751378,0.002546824,-0.656211485,0.280502877,1.171668111
03/27/19,188.47,29848430,0.90,188.75,189.76,186.55,0.017031888,0.010493067,0.053864289,0.378403456,2.300918394
03/26/19,186.79,49800540,-1.03,191.66,192.88,184.58,0.044434927,0.015492212,0.048753003,0.332683671,2.298597727
03/25/19,188.74,43845290,-1.21,191.51,191.98,186.60,0.028504821,0.002407747,0.096894278,0.548354585,2.27264735
03/22/19,191.05,42407670,-2.07,195.34,197.69,190.78,0.036168542,0.00128146,0.542885966,1.015687888,2.168709869
03/21/19,195.09,51034240,3.68,190.02,196.33,189.81,0.033420473,0.009885204,1.217217239,1.246540483,1.603318298
03/20/19,188.16,31035230,0.87,186.23,189.49,184.73,0.025297619,-0.00160832,0.702942622,0.762491315,0.850152158
03/19/19,186.53,31646370,-0.79,188.35,188.99,185.92,0.016458479,0.001755132,0.61661434,0.617565578,0.850373615
03/18/19,188.02,26219830,1.02,185.80,188.39,185.79,0.013828316,-0.001719321,0.999814891,0.678615313,0.327788813
03/15/19,186.12,39042910,1.30,184.85,187.33,183.74,0.019288631,0.006095902,1.48848981,0.626824297,1.152023933
03/14/19,183.73,23579510,1.11,183.90,184.10,182.56,0.008381865,0.012052171,1.275863728,0.601853544,1.285677634
03/13/19,181.71,31032520,0.44,182.25,183.30,180.92,0.013097793,0.007406998,0.822040008,0.392329918,1.693826657
03/12/19,180.91,32467580,1.12,180.00,182.67,179.37,0.018241114,0.006148686,0.618516816,0.379083402,1.808152728
03/11/19,178.90,32011030,3.46,175.49,179.12,175.35,0.021073225,0.014921057,0.357415735,0.272469482,1.811251919
03/08/19,172.91,23999360,0.24,170.32,173.07,169.50,0.020646579,-0.012637681,-0.234841216,-0.001107661,0.659092429
03/07/19,172.50,24796370,-1.16,173.87,174.44,172.02,0.014028986,-0.003724501,-0.072156639,0.086780279,0.871158995
03/06/19,174.52,20810380,-0.58,174.67,175.49,173.94,0.008881504,-0.004899447,-0.037380172,0.146140695,0.818906193
03/05/19,175.53,19737420,-0.18,175.94,176.00,174.54,0.008317666,0.0005118,0.139649987,0.26803523,0.767587142
03/04/19,175.85,27436200,0.50,175.69,177.75,173.97,0.021495593,0.004114991,0.187523229,0.316157711,0.749771077
03/01/19,174.97,25886170,1.05,174.28,175.15,172.89,0.0129165,0.006526133,0.232625894,0.243615881,0.779675054
02/28/19,173.15,28215420,-0.98,174.32,174.91,172.92,0.011492925,-0.003145194,0.245717197,0.174937377,0.797206216
02/27/19,174.87,27835390,0.31,173.21,175.00,172.73,0.012981072,-0.006424597,0.329661563,0.23174672,0.642487213
02/26/19,174.33,17070210,0.06,173.71,175.30,173.17,0.012199851,-0.002984561,0.396420473,0.286944004,0.657076865
02/25/19,174.23,21873360,0.73,174.16,175.87,173.95,0.011019916,0.006879806,0.444792192,0.223695503,0.634390294
02/22/19,172.97,18913150,1.12,171.58,173.00,171.38,0.009365786,0.003039869,0.254605868,0.16255023,0.669652419
02/21/19,171.06,17249670,-0.56,171.80,172.37,170.30,0.012101017,-0.001336976,0.104157557,-0.138500646,0.487242735
02/20/19,172.03,26114360,0.64,171.19,173.32,170.99,0.013544149,0.001521091,0.133831877,-0.078669769,0.438464487
02/19/19,170.93,18972830,0.30,169.71,171.44,169.49,0.011408179,-0.004166178,0.177467534,0.028070917,0.507321717
02/15/19,170.42,24626810,-0.22,171.25,171.70,169.75,0.011442319,0.00263466,0.002598814,0.282194828,0.597519135
02/14/19,170.80,21835750,0.36,169.71,171.26,169.38,0.011015808,-0.002761782,0.070494591,0.309249357,0.584699692
02/13/19,170.18,22490230,-0.42,171.39,172.48,169.92,0.015042896,0.002925859,-0.381158849,0.34482878,1.014914286
02/12/19,170.89,22283520,0.86,170.10,171.00,169.70,0.007607233,0.003954435,-0.291171414,1.069724511,1.030930296
02/11/19,169.43,20993430,-0.58,171.05,171.21,169.25,0.011568199,0.003755648,-0.1213257,0.879905024,1.302531954
02/08/19,170.41,23819970,0.12,168.99,170.66,168.42,0.013144768,-0.011407511,0.561790842,0.844868529,1.804133106
02/07/19,170.94,31741690,-1.89,172.40,173.94,170.34,0.021060021,-0.010560147,0.548004123,1.164537338,1.808639586
02/06/19,174.24,28239590,0.03,174.65,175.57,172.85,0.01559286,0.002698358,1.07081641,1.274669258,1.202557816
02/05/19,174.18,36101633,1.71,172.86,175.08,172.35,0.015672867,0.00940146,2.430620436,1.311667212,2.677377036
02/04/19,171.25,31495580,2.84,167.41,171.66,167.28,0.025547445,0.005344703,1.881135747,0.916110982,3.1091214
02/01/19,166.52,32668140,0.05,166.96,168.98,165.93,0.018316118,0.003124249,1.127946216,0.693655568,3.270575432
01/31/19,166.44,40739650,0.72,166.11,169.00,164.56,0.02667628,0.005204236,1.781070553,0.748227136,3.326602039
01/30/19,165.25,61109780,6.83,163.25,166.15,160.23,0.035824508,0.055404706,1.478522106,0.79838085,3.510901567
01/29/19,154.68,41587240,-1.04,156.25,158.13,154.11,0.025989139,-0.000319898,0.192713989,0.319700398,1.838300304
01/28/19,156.30,26192060,-0.93,155.79,156.33,153.66,0.017082534,-0.012487323,-0.048913783,0.27297768,2.100900524
01/25/19,157.76,33547890,3.31,155.48,158.13,154.32,0.024150609,0.018205632,0.25936492,0.267343157,2.052660368
01/24/19,152.70,25441550,-0.79,154.11,154.48,151.74,0.01794368,0.001234407,-0.284616281,-0.03206439,1.240667726
01/23/19,153.92,23130570,0.40,154.15,155.14,151.70,0.022349272,0.005544684,0.118239595,0.217015234,1.356130416
01/22/19,153.30,30393970,-2.24,156.41,156.73,152.62,0.026810176,-0.002614462,0.446686808,0.367203362,1.61662446
01/18/19,156.82,33751020,0.62,157.50,157.88,155.98,0.012111976,0.010522264,0.594869143,0.569406248,1.313870945
01/17/19,155.86,29821160,0.59,154.20,157.66,153.26,0.028230463,-0.004776042,0.275321393,0.934705758,1.489959308
01/16/19,154.94,30569710,1.22,153.08,155.88,153.00,0.01858784,6.53296E-05,0.2204875,-0.120746508,1.480323081
01/15/19,153.07,28710320,2.05,150.27,153.39,150.05,0.021820082,0.0018,0.315790872,-0.231501979,1.573311051
01/14/19,150.00,32439190,-1.50,150.85,151.27,149.22,0.013666667,-0.009455644,0.287719916,-0.339515237,1.53550616
01/11/19,152.29,27023240,-0.98,152.88,153.70,151.51,0.014380458,-0.005981795,0.543943353,-0.184021698,1.240371319
01/10/19,153.80,35780670,0.32,152.50,153.97,150.86,0.020221066,-0.005283413,1.594090124,-0.150740235,1.745544709
01/09/19,153.31,45099080,1.70,151.29,154.53,149.63,0.031961385,0.00358209,-0.461980516,0.521513998,5.543924453
01/08/19,150.75,41025313,1.91,149.56,151.82,148.52,0.021890547,0.011018725,-0.77879483,0.092956796,5.433786309
01/07/19,147.93,54777760,-0.22,148.70,148.83,145.90,0.019806665,0.002967759,-0.96675039,-0.486632092,5.333007406
01/04/19,148.26,58607070,4.27,144.53,148.55,143.80,0.032037637,0.016456854,-0.911986748,-0.71671906,5.34395419
01/03/19,142.19,91312200,-9.96,143.98,145.72,142.00,0.026162177,-0.088272543,-1.895570594,-1.455529099,4.544816556
